-; Spawn; (-1180, 43); [Coordinates(1, 1)]
-; GreyBlock; (41, -221); [Coordinates(5.250000000000007, 1.0), 50, 50]
-; GreyBlock; (-167, -50); [Coordinates(6.100000000000019, 1.0), 50, 50]
-; GreyBlock; (562, -221); [Coordinates(1.0, 3.3249999999999917), 50, 50]
-; GreyBlock; (795, -367); [Coordinates(1.0, 3.4499999999999913), 50, 50]
-; GreyBlock; (1020, -236); [Coordinates(1.0, 3.6999999999999904), 50, 50]
-; GreyBlock; (-491, -566); [Coordinates(1.0, 3.3999999999999915), 50, 50]
-; GreyBlock; (-305, -821); [Coordinates(5.575000000000012, 1.0), 50, 50]
-; GreyBlock; (-25, -1145); [Coordinates(3.199999999999992, 1.0), 50, 50]
-; ClassicTarget; (889, -2235); [Coordinates(0.7499999999999998, 0.7249999999999998)]
-; ClassicTarget; (1124, -159); [Coordinates(0.7499999999999998, 0.7749999999999997)]
-; ClassicTarget; (-772, -1805); [Coordinates(0.7749999999999998, 0.7249999999999996)]
