-; GreyBlock; (474, 108); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1105, -405); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1151, -247); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1150, -252); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1147, -373); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1144, -398); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1148, -312); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1148, -343); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1151, -282); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (969, -394); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1209, -239); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1216, -256); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1216, -298); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1219, -322); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1216, -357); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1219, -394); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1252, -383); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1285, -383); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1310, -369); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1314, -268); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1314, -322); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1314, -261); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1314, -227); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1278, -240); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1238, -245); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1302, -449); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1299, -404); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1299, -489); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1452, -245); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1451, -266); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1455, -327); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1448, -302); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1462, -357); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1462, -408); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1459, -459); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1455, -489); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1455, -515); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1499, -489); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1524, -460); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1545, -440); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1557, -409); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1583, -444); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1603, -495); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1600, -475); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1636, -530); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1640, -491); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1644, -444); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1636, -409); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1636, -373); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1640, -328); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1644, -288); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1636, -241); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1715, -344); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1708, -241); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1712, -266); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1715, -306); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1709, -377); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1731, -340); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1777, -351); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1860, -386); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1905, -390); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1831, -352); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1882, -296); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1841, -311); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1925, -281); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1919, -250); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1876, -240); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1834, -245); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (1986, -243); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2102, -484); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2109, -459); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2105, -414); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2105, -368); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2098, -317); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2098, -266); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2098, -215); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2134, -223); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2179, -227); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2217, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2253, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2250, -266); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2257, -311); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2250, -352); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2232, -409); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2225, -443); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2199, -469); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2163, -484); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2141, -484); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2235, -398); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2311, -222); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2639, -358); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2604, -354); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2604, -305); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2684, -360); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2648, -290); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2693, -263); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2690, -223); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2644, -228); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2601, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2776, -469); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2772, -429); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2772, -384); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2772, -342); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2772, -317); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2772, -272); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2765, -221); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2768, -250); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2311, -265); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2317, -315); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2346, -221); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2380, -220); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2328, -364); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2406, -275); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2402, -245); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2409, -319); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2409, -354); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2480, -354); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2480, -265); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2480, -315); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2479, -221); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2514, -339); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2550, -334); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2773, -508); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2835, -374); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2883, -370); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2918, -374); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2933, -330); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2933, -305); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2887, -291); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2842, -289); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2835, -324); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2838, -240); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2859, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2908, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2940, -235); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2887, -221); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (2996, -380); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3017, -319); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3038, -291); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3005, -344); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3063, -265); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3068, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3113, -378); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3102, -334); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3096, -295); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3096, -255); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3085, -221); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3071, -166); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3074, -200); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3049, -132); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3011, -112); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3188, -230); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3178, -186); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3160, -166); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3312, -394); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3315, -360); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3312, -319); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3309, -275); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3309, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3350, -216); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3390, -220); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3425, -221); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3422, -265); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3425, -309); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3418, -349); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3408, -398); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3354, -394); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3372, -398); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3532, -552); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3493, -548); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3493, -493); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3489, -513); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3496, -459); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3496, -409); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3496, -374); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3499, -334); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3493, -271); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3493, -295); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3493, -255); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3485, -211); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3532, -408); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3682, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3678, -269); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3688, -319); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3688, -364); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3688, -408); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3724, -388); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3777, -384); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3763, -388); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3784, -349); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3784, -315); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3784, -285); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3784, -245); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3777, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3854, -398); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3851, -364); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3857, -315); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3861, -281); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3864, -221); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3864, -245); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3903, -221); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3938, -220); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3963, -250); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3966, -285); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3966, -339); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3962, -320); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (3962, -384); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4024, -399); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4024, -349); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4027, -378); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4027, -305); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4027, -271); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4031, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4057, -384); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4092, -370); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4124, -344); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4121, -305); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4117, -235); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4120, -275); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4131, -364); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4162, -364); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4187, -354); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4184, -324); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4187, -281); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4194, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4263, -549); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4263, -510); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4270, -460); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4274, -423); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4278, -373); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4278, -329); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4271, -292); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4266, -253); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4270, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4317, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4360, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4395, -246); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4399, -296); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4399, -351); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4402, -340); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4403, -401); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4364, -384); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4326, -384); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4305, -384); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4487, -378); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4533, -389); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4579, -384); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4599, -364); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4602, -326); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4490, -335); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4501, -314); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4568, -303); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4529, -292); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4498, -275); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4494, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4537, -220); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4579, -215); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4669, -389); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4680, -356); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4677, -303); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4674, -248); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4669, -220); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4673, -275); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4673, -334); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4720, -356); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4747, -362); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4959, -574); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4920, -574); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4917, -532); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4920, -471); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4920, -434); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4920, -498); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4920, -390); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4913, -340); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4916, -285); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4920, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4917, -270); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4913, -312); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (4948, -423); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5026, -406); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5053, -401); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5097, -401); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5128, -390); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5128, -362); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5128, -329); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5128, -264); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5124, -279); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5112, -225); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5070, -237); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5039, -226); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5007, -268); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5007, -312); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5014, -351); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5220, -389); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5215, -346); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5219, -292); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5223, -318); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5223, -242); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5265, -237); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5304, -237); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5332, -285); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5332, -323); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5329, -367); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5324, -406); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5404, -406); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5399, -368); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5407, -307); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5404, -340); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5407, -270); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5415, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5449, -367); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5493, -373); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5593, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5580, -193); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5562, -160); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5778, -585); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5775, -526); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5783, -548); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5783, -499); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5786, -456); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5786, -417); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5783, -368); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5767, -329); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5775, -292); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5772, -248); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5767, -220); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5814, -592); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5853, -587); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5900, -592); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5903, -559); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5908, -515); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5892, -471); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5892, -445); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5853, -428); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5811, -428); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5963, -384); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5966, -346); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5963, -296); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5963, -248); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (5963, -220); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6005, -351); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6038, -367); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6109, -389); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6105, -351); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6101, -314); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6104, -275); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6101, -231); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6113, -471); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6173, -395); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6193, -356); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6193, -318); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6207, -270); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6215, -248); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6231, -237); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6262, -264); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6278, -323); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6274, -314); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6298, -367); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6294, -395); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6383, -318); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6430, -314); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6461, -314); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6464, -351); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6472, -389); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6438, -421); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (6406, -417); [Coordinates(1, 1), 50, 50]
