-; ClassicTarget; (257, -183); [Coordinates(1, 1)]
-; ClassicTarget; (1054, 697); [Coordinates(1, 1)]
-; ClassicTarget; (1067, 701); [Coordinates(1, 1)]
-; ClassicTarget; (1082, 708); [Coordinates(1, 1)]
-; ClassicTarget; (1106, 714); [Coordinates(1, 1)]
-; ClassicTarget; (1119, 721); [Coordinates(1, 1)]
-; ClassicTarget; (1132, 732); [Coordinates(1, 1)]
-; ClassicTarget; (1160, 758); [Coordinates(1, 1)]
-; ClassicTarget; (1169, 773); [Coordinates(1, 1)]
-; ClassicTarget; (1173, 786); [Coordinates(1, 1)]
-; ClassicTarget; (7, 801); [Coordinates(1, 1)]
-; ClassicTarget; (27, 799); [Coordinates(1, 1)]
-; ClassicTarget; (55, 799); [Coordinates(1, 1)]
-; ClassicTarget; (77, 799); [Coordinates(1, 1)]
-; ClassicTarget; (105, 801); [Coordinates(1, 1)]
-; ClassicTarget; (136, 801); [Coordinates(1, 1)]
-; ClassicTarget; (166, 801); [Coordinates(1, 1)]
-; ClassicTarget; (225, 801); [Coordinates(1, 1)]
-; ClassicTarget; (240, 799); [Coordinates(1, 1)]
-; ClassicTarget; (192, 806); [Coordinates(1, 1)]
-; ClassicTarget; (220, 799); [Coordinates(1, 1)]
-; ClassicTarget; (279, 799); [Coordinates(1, 1)]
-; ClassicTarget; (314, 799); [Coordinates(1, 1)]
-; ClassicTarget; (347, 801); [Coordinates(1, 1)]
-; ClassicTarget; (397, 801); [Coordinates(1, 1)]
-; ClassicTarget; (438, 806); [Coordinates(1, 1)]
-; ClassicTarget; (479, 803); [Coordinates(1, 1)]
-; ClassicTarget; (521, 799); [Coordinates(1, 1)]
-; ClassicTarget; (569, 799); [Coordinates(1, 1)]
-; ClassicTarget; (627, 797); [Coordinates(1, 1)]
-; ClassicTarget; (673, 795); [Coordinates(1, 1)]
-; ClassicTarget; (712, 795); [Coordinates(1, 1)]
-; ClassicTarget; (767, 793); [Coordinates(1, 1)]
-; ClassicTarget; (830, 793); [Coordinates(1, 1)]
-; ClassicTarget; (875, 793); [Coordinates(1, 1)]
-; ClassicTarget; (930, 793); [Coordinates(1, 1)]
-; ClassicTarget; (980, 793); [Coordinates(1, 1)]
-; ClassicTarget; (1038, 788); [Coordinates(1, 1)]
-; ClassicTarget; (1102, 788); [Coordinates(1, 1)]
-; ClassicTarget; (1128, 788); [Coordinates(1, 1)]
-; ClassicTarget; (1141, 788); [Coordinates(1, 1)]
-; ClassicTarget; (1067, 797); [Coordinates(1, 1)]
-; ClassicTarget; (1062, 797); [Coordinates(1, 1)]
-; ClassicTarget; (1012, 795); [Coordinates(1, 1)]
-; ClassicTarget; (975, 795); [Coordinates(1, 1)]
-; ClassicTarget; (925, 795); [Coordinates(1, 1)]
-; ClassicTarget; (901, 795); [Coordinates(1, 1)]
-; ClassicTarget; (845, 795); [Coordinates(1, 1)]
-; ClassicTarget; (793, 795); [Coordinates(1, 1)]
-; ClassicTarget; (745, 795); [Coordinates(1, 1)]
-; ClassicTarget; (701, 795); [Coordinates(1, 1)]
-; ClassicTarget; (625, 795); [Coordinates(1, 1)]
-; ClassicTarget; (601, 795); [Coordinates(1, 1)]
-; ClassicTarget; (579, 797); [Coordinates(1, 1)]
-; ClassicTarget; (436, 795); [Coordinates(1, 1)]
-; ClassicTarget; (366, 795); [Coordinates(1, 1)]
-; ClassicTarget; (225, 793); [Coordinates(1, 1)]
-; ClassicTarget; (96, 771); [Coordinates(1, 1)]
-; ClassicTarget; (142, 793); [Coordinates(1, 1)]
-; ClassicTarget; (136, 764); [Coordinates(1, 1)]
-; ClassicTarget; (155, 762); [Coordinates(1, 1)]
-; ClassicTarget; (188, 760); [Coordinates(1, 1)]
-; ClassicTarget; (227, 736); [Coordinates(1, 1)]
-; ClassicTarget; (236, 780); [Coordinates(1, 1)]
-; ClassicTarget; (273, 732); [Coordinates(1, 1)]
-; ClassicTarget; (292, 764); [Coordinates(1, 1)]
-; ClassicTarget; (268, 756); [Coordinates(1, 1)]
-; ClassicTarget; (334, 706); [Coordinates(1, 1)]
-; ClassicTarget; (318, 738); [Coordinates(1, 1)]
-; ClassicTarget; (314, 734); [Coordinates(1, 1)]
-; ClassicTarget; (347, 758); [Coordinates(1, 1)]
-; ClassicTarget; (334, 767); [Coordinates(1, 1)]
-; ClassicTarget; (386, 751); [Coordinates(1, 1)]
-; ClassicTarget; (375, 723); [Coordinates(1, 1)]
-; ClassicTarget; (366, 719); [Coordinates(1, 1)]
-; ClassicTarget; (364, 710); [Coordinates(1, 1)]
-; ClassicTarget; (407, 712); [Coordinates(1, 1)]
-; ClassicTarget; (407, 775); [Coordinates(1, 1)]
-; ClassicTarget; (431, 751); [Coordinates(1, 1)]
-; ClassicTarget; (453, 749); [Coordinates(1, 1)]
-; ClassicTarget; (492, 756); [Coordinates(1, 1)]
-; ClassicTarget; (475, 764); [Coordinates(1, 1)]
-; ClassicTarget; (427, 714); [Coordinates(1, 1)]
-; ClassicTarget; (423, 686); [Coordinates(1, 1)]
-; ClassicTarget; (440, 673); [Coordinates(1, 1)]
-; ClassicTarget; (466, 714); [Coordinates(1, 1)]
-; ClassicTarget; (490, 714); [Coordinates(1, 1)]
-; ClassicTarget; (542, 734); [Coordinates(1, 1)]
-; ClassicTarget; (590, 745); [Coordinates(1, 1)]
-; ClassicTarget; (575, 756); [Coordinates(1, 1)]
-; ClassicTarget; (523, 760); [Coordinates(1, 1)]
-; ClassicTarget; (542, 749); [Coordinates(1, 1)]
-; ClassicTarget; (538, 703); [Coordinates(1, 1)]
-; ClassicTarget; (514, 721); [Coordinates(1, 1)]
-; ClassicTarget; (497, 675); [Coordinates(1, 1)]
-; ClassicTarget; (486, 666); [Coordinates(1, 1)]
-; ClassicTarget; (558, 777); [Coordinates(1, 1)]
-; ClassicTarget; (616, 758); [Coordinates(1, 1)]
-; ClassicTarget; (656, 756); [Coordinates(1, 1)]
-; ClassicTarget; (699, 751); [Coordinates(1, 1)]
-; ClassicTarget; (732, 749); [Coordinates(1, 1)]
-; ClassicTarget; (758, 749); [Coordinates(1, 1)]
-; ClassicTarget; (799, 749); [Coordinates(1, 1)]
-; ClassicTarget; (843, 747); [Coordinates(1, 1)]
-; ClassicTarget; (891, 743); [Coordinates(1, 1)]
-; ClassicTarget; (919, 743); [Coordinates(1, 1)]
-; ClassicTarget; (958, 743); [Coordinates(1, 1)]
-; ClassicTarget; (1004, 743); [Coordinates(1, 1)]
-; ClassicTarget; (1028, 743); [Coordinates(1, 1)]
-; ClassicTarget; (1058, 743); [Coordinates(1, 1)]
-; ClassicTarget; (1117, 747); [Coordinates(1, 1)]
-; ClassicTarget; (1112, 749); [Coordinates(1, 1)]
-; ClassicTarget; (1075, 762); [Coordinates(1, 1)]
-; ClassicTarget; (1028, 773); [Coordinates(1, 1)]
-; ClassicTarget; (967, 777); [Coordinates(1, 1)]
-; ClassicTarget; (897, 777); [Coordinates(1, 1)]
-; ClassicTarget; (947, 773); [Coordinates(1, 1)]
-; ClassicTarget; (993, 767); [Coordinates(1, 1)]
-; ClassicTarget; (1006, 732); [Coordinates(1, 1)]
-; ClassicTarget; (986, 706); [Coordinates(1, 1)]
-; ClassicTarget; (941, 706); [Coordinates(1, 1)]
-; ClassicTarget; (908, 706); [Coordinates(1, 1)]
-; ClassicTarget; (860, 701); [Coordinates(1, 1)]
-; ClassicTarget; (814, 699); [Coordinates(1, 1)]
-; ClassicTarget; (777, 699); [Coordinates(1, 1)]
-; ClassicTarget; (751, 699); [Coordinates(1, 1)]
-; ClassicTarget; (727, 684); [Coordinates(1, 1)]
-; ClassicTarget; (762, 688); [Coordinates(1, 1)]
-; ClassicTarget; (790, 719); [Coordinates(1, 1)]
-; ClassicTarget; (790, 723); [Coordinates(1, 1)]
-; ClassicTarget; (782, 727); [Coordinates(1, 1)]
-; ClassicTarget; (732, 725); [Coordinates(1, 1)]
-; ClassicTarget; (688, 706); [Coordinates(1, 1)]
-; ClassicTarget; (627, 712); [Coordinates(1, 1)]
-; ClassicTarget; (562, 701); [Coordinates(1, 1)]
-; ClassicTarget; (577, 695); [Coordinates(1, 1)]
-; ClassicTarget; (640, 701); [Coordinates(1, 1)]
-; ClassicTarget; (642, 725); [Coordinates(1, 1)]
-; ClassicTarget; (597, 703); [Coordinates(1, 1)]
-; ClassicTarget; (564, 673); [Coordinates(1, 1)]
-; ClassicTarget; (525, 671); [Coordinates(1, 1)]
-; ClassicTarget; (699, 677); [Coordinates(1, 1)]
-; ClassicTarget; (649, 675); [Coordinates(1, 1)]
-; ClassicTarget; (608, 675); [Coordinates(1, 1)]
-; ClassicTarget; (686, 653); [Coordinates(1, 1)]
-; ClassicTarget; (703, 627); [Coordinates(1, 1)]
-; ClassicTarget; (703, 573); [Coordinates(1, 1)]
-; ClassicTarget; (475, 625); [Coordinates(1, 1)]
-; ClassicTarget; (475, 571); [Coordinates(1, 1)]
-; ClassicTarget; (508, 599); [Coordinates(1, 1)]
-; ClassicTarget; (523, 621); [Coordinates(1, 1)]
-; ClassicTarget; (538, 632); [Coordinates(1, 1)]
-; ClassicTarget; (560, 642); [Coordinates(1, 1)]
-; ClassicTarget; (584, 660); [Coordinates(1, 1)]
-; ClassicTarget; (632, 647); [Coordinates(1, 1)]
-; ClassicTarget; (647, 623); [Coordinates(1, 1)]
-; ClassicTarget; (664, 595); [Coordinates(1, 1)]
-; ClassicTarget; (682, 571); [Coordinates(1, 1)]
-; ClassicTarget; (686, 542); [Coordinates(1, 1)]
-; ClassicTarget; (695, 505); [Coordinates(1, 1)]
-; ClassicTarget; (697, 597); [Coordinates(1, 1)]
-; GreyBlock; (368, -170); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (366, -151); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (366, -129); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (381, -112); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (401, -92); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (416, -70); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (442, -59); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (462, -51); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (495, -42); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (540, -40); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (564, -48); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (566, -75); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (566, -114); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (547, -149); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (523, -175); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (488, -199); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (453, -209); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (418, -212); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (381, -207); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (373, -175); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (414, -177); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (475, -175); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (534, -129); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (536, -68); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (523, -98); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (490, -85); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (475, -116); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (471, -142); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (495, -138); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (438, -162); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (407, -135); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (440, -107); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (458, -103); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (651, -122); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (675, -162); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (695, -192); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (716, -205); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (679, -33); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (649, -40); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (703, -42); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (736, -61); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (767, -88); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (786, -118); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (747, -151); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (651, -92); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (675, -94); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (666, -83); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (740, -101); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (695, -79); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (684, -68); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (721, -105); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (740, -129); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (686, -135); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (712, -183); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (756, -212); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (808, -155); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (812, -194); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (784, -223); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (799, -218); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (636, -83); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (640, -55); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (801, -201); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (719, -149); [Coordinates(1, 1), 50, 50]
-; GreyBlock; (436, -131); [Coordinates(1, 1), 50, 50]
-; ClassicTarget; (388, -257); [Coordinates(1, 1)]
-; ClassicTarget; (423, -257); [Coordinates(1, 1)]
-; ClassicTarget; (431, -257); [Coordinates(1, 1)]
-; ClassicTarget; (453, -249); [Coordinates(1, 1)]
-; ClassicTarget; (479, -242); [Coordinates(1, 1)]
-; ClassicTarget; (499, -229); [Coordinates(1, 1)]
-; ClassicTarget; (518, -220); [Coordinates(1, 1)]
-; ClassicTarget; (542, -209); [Coordinates(1, 1)]
-; ClassicTarget; (562, -177); [Coordinates(1, 1)]
-; ClassicTarget; (575, -162); [Coordinates(1, 1)]
-; ClassicTarget; (597, -142); [Coordinates(1, 1)]
-; ClassicTarget; (601, -129); [Coordinates(1, 1)]
-; ClassicTarget; (621, -157); [Coordinates(1, 1)]
-; ClassicTarget; (647, -186); [Coordinates(1, 1)]
-; ClassicTarget; (660, -203); [Coordinates(1, 1)]
-; ClassicTarget; (686, -229); [Coordinates(1, 1)]
-; ClassicTarget; (706, -244); [Coordinates(1, 1)]
-; ClassicTarget; (738, -257); [Coordinates(1, 1)]
-; ClassicTarget; (758, -268); [Coordinates(1, 1)]
-; ClassicTarget; (799, -273); [Coordinates(1, 1)]
-; ClassicTarget; (823, -277); [Coordinates(1, 1)]
-; ClassicTarget; (830, -279); [Coordinates(1, 1)]
-; ClassicTarget; (360, -255); [Coordinates(1, 1)]
-; ClassicTarget; (334, -273); [Coordinates(1, 1)]
-; ClassicTarget; (307, -266); [Coordinates(1, 1)]
-; ClassicTarget; (353, -325); [Coordinates(1, 1)]
-; ClassicTarget; (325, -296); [Coordinates(1, 1)]
-; ClassicTarget; (340, -318); [Coordinates(1, 1)]
-; ClassicTarget; (390, -296); [Coordinates(1, 1)]
-; ClassicTarget; (375, -303); [Coordinates(1, 1)]
-; ClassicTarget; (377, -340); [Coordinates(1, 1)]
-; ClassicTarget; (368, -353); [Coordinates(1, 1)]
-; ClassicTarget; (364, -366); [Coordinates(1, 1)]
-; ClassicTarget; (414, -399); [Coordinates(1, 1)]
-; ClassicTarget; (381, -390); [Coordinates(1, 1)]
-; ClassicTarget; (399, -353); [Coordinates(1, 1)]
-; ClassicTarget; (403, -299); [Coordinates(1, 1)]
-; ClassicTarget; (451, -286); [Coordinates(1, 1)]
-; ClassicTarget; (503, -275); [Coordinates(1, 1)]
-; ClassicTarget; (542, -255); [Coordinates(1, 1)]
-; ClassicTarget; (573, -227); [Coordinates(1, 1)]
-; ClassicTarget; (592, -212); [Coordinates(1, 1)]
-; ClassicTarget; (599, -207); [Coordinates(1, 1)]
-; ClassicTarget; (647, -231); [Coordinates(1, 1)]
-; ClassicTarget; (605, -188); [Coordinates(1, 1)]
-; ClassicTarget; (695, -294); [Coordinates(1, 1)]
-; ClassicTarget; (745, -307); [Coordinates(1, 1)]
-; ClassicTarget; (703, -292); [Coordinates(1, 1)]
-; ClassicTarget; (653, -268); [Coordinates(1, 1)]
-; ClassicTarget; (616, -259); [Coordinates(1, 1)]
-; ClassicTarget; (582, -264); [Coordinates(1, 1)]
-; ClassicTarget; (499, -286); [Coordinates(1, 1)]
-; ClassicTarget; (447, -310); [Coordinates(1, 1)]
-; ClassicTarget; (447, -314); [Coordinates(1, 1)]
-; ClassicTarget; (488, -434); [Coordinates(1, 1)]
-; ClassicTarget; (444, -407); [Coordinates(1, 1)]
-; ClassicTarget; (401, -329); [Coordinates(1, 1)]
-; ClassicTarget; (431, -342); [Coordinates(1, 1)]
-; ClassicTarget; (449, -366); [Coordinates(1, 1)]
-; ClassicTarget; (440, -425); [Coordinates(1, 1)]
-; ClassicTarget; (466, -455); [Coordinates(1, 1)]
-; ClassicTarget; (499, -473); [Coordinates(1, 1)]
-; ClassicTarget; (538, -499); [Coordinates(1, 1)]
-; ClassicTarget; (571, -525); [Coordinates(1, 1)]
-; ClassicTarget; (603, -529); [Coordinates(1, 1)]
-; ClassicTarget; (642, -527); [Coordinates(1, 1)]
-; ClassicTarget; (673, -516); [Coordinates(1, 1)]
-; ClassicTarget; (706, -501); [Coordinates(1, 1)]
-; ClassicTarget; (723, -501); [Coordinates(1, 1)]
-; ClassicTarget; (712, -518); [Coordinates(1, 1)]
-; ClassicTarget; (751, -447); [Coordinates(1, 1)]
-; ClassicTarget; (749, -477); [Coordinates(1, 1)]
-; ClassicTarget; (769, -429); [Coordinates(1, 1)]
-; ClassicTarget; (790, -392); [Coordinates(1, 1)]
-; ClassicTarget; (830, -325); [Coordinates(1, 1)]
-; ClassicTarget; (827, -305); [Coordinates(1, 1)]
-; ClassicTarget; (708, -275); [Coordinates(1, 1)]
-; ClassicTarget; (673, -257); [Coordinates(1, 1)]
-; ClassicTarget; (793, -307); [Coordinates(1, 1)]
-; ClassicTarget; (790, -349); [Coordinates(1, 1)]
-; ClassicTarget; (810, -351); [Coordinates(1, 1)]
-; ClassicTarget; (767, -351); [Coordinates(1, 1)]
-; ClassicTarget; (738, -364); [Coordinates(1, 1)]
-; ClassicTarget; (736, -397); [Coordinates(1, 1)]
-; ClassicTarget; (749, -412); [Coordinates(1, 1)]
-; ClassicTarget; (716, -444); [Coordinates(1, 1)]
-; ClassicTarget; (693, -468); [Coordinates(1, 1)]
-; ClassicTarget; (721, -468); [Coordinates(1, 1)]
-; ClassicTarget; (649, -486); [Coordinates(1, 1)]
-; ClassicTarget; (623, -490); [Coordinates(1, 1)]
-; ClassicTarget; (605, -490); [Coordinates(1, 1)]
-; ClassicTarget; (582, -488); [Coordinates(1, 1)]
-; ClassicTarget; (529, -471); [Coordinates(1, 1)]
-; ClassicTarget; (532, -460); [Coordinates(1, 1)]
-; ClassicTarget; (545, -440); [Coordinates(1, 1)]
-; ClassicTarget; (486, -405); [Coordinates(1, 1)]
-; ClassicTarget; (486, -377); [Coordinates(1, 1)]
-; ClassicTarget; (466, -331); [Coordinates(1, 1)]
-; ClassicTarget; (497, -323); [Coordinates(1, 1)]
-; ClassicTarget; (532, -310); [Coordinates(1, 1)]
-; ClassicTarget; (545, -296); [Coordinates(1, 1)]
-; ClassicTarget; (595, -292); [Coordinates(1, 1)]
-; ClassicTarget; (629, -292); [Coordinates(1, 1)]
-; ClassicTarget; (666, -292); [Coordinates(1, 1)]
-; ClassicTarget; (714, -316); [Coordinates(1, 1)]
-; ClassicTarget; (753, -364); [Coordinates(1, 1)]
-; ClassicTarget; (732, -342); [Coordinates(1, 1)]
-; ClassicTarget; (693, -355); [Coordinates(1, 1)]
-; ClassicTarget; (693, -392); [Coordinates(1, 1)]
-; ClassicTarget; (690, -427); [Coordinates(1, 1)]
-; ClassicTarget; (662, -442); [Coordinates(1, 1)]
-; ClassicTarget; (638, -455); [Coordinates(1, 1)]
-; ClassicTarget; (588, -462); [Coordinates(1, 1)]
-; ClassicTarget; (564, -462); [Coordinates(1, 1)]
