-; GreyBlock; (-365, -281); [Coordinates(0.17499999999999938, 5.900000000000016), 50, 50]
-; GreyBlock; (-176, -408); [Coordinates(0.22499999999999937, 0.37499999999999933), 50, 50]
-; GreyBlock; (-166, -428); [Coordinates(0.19999999999999937, 0.5999999999999996), 50, 50]
-; GreyBlock; (-159, -435); [Coordinates(0.2999999999999994, 0.17499999999999938), 50, 50]
-; GreyBlock; (-147, -448); [Coordinates(0.4499999999999995, 0.2999999999999994), 50, 50]
-; GreyBlock; (-126, -443); [Coordinates(0.19999999999999937, 0.5249999999999996), 50, 50]
-; GreyBlock; (-119, -422); [Coordinates(0.12499999999999939, 0.5999999999999996), 50, 50]
-; GreyBlock; (-124, -397); [Coordinates(0.14999999999999938, 0.6749999999999997), 50, 50]
-; GreyBlock; (-135, -366); [Coordinates(0.24999999999999936, 0.17499999999999938), 50, 50]
-; GreyBlock; (-136, -360); [Coordinates(0.17499999999999938, 0.5749999999999996), 50, 50]
-; GreyBlock; (-140, -338); [Coordinates(0.17499999999999938, 0.49999999999999956), 50, 50]
-; GreyBlock; (-186, -368); [Coordinates(0.12499999999999939, 0.37499999999999944), 50, 50]
-; GreyBlock; (-152, -318); [Coordinates(0.27499999999999936, 0.17499999999999938), 50, 50]
-; GreyBlock; (-166, -313); [Coordinates(0.3249999999999994, 0.3249999999999994), 50, 50]
-; GreyBlock; (-173, -300); [Coordinates(0.37499999999999944, 0.37499999999999944), 50, 50]
-; GreyBlock; (-186, -282); [Coordinates(0.3249999999999994, 0.3499999999999994), 50, 50]
-; GreyBlock; (-202, -267); [Coordinates(0.39999999999999947, 0.14999999999999938), 50, 50]
-; GreyBlock; (-207, -261); [Coordinates(0.19999999999999937, 0.27499999999999936), 50, 50]
-; GreyBlock; (-215, -252); [Coordinates(0.2999999999999994, 0.39999999999999947), 50, 50]
-; GreyBlock; (-222, -239); [Coordinates(0.22499999999999937, 0.4249999999999995), 50, 50]
-; GreyBlock; (-174, -274); [Coordinates(0.7999999999999998, 0.19999999999999937), 50, 50]
-; GreyBlock; (-144, -281); [Coordinates(0.3249999999999994, 0.19999999999999937), 50, 50]
-; GreyBlock; (-138, -289); [Coordinates(0.49999999999999956, 0.19999999999999937), 50, 50]
-; GreyBlock; (-125, -299); [Coordinates(1.0, 0.2999999999999994), 50, 50]
-; GreyBlock; (-93, -289); [Coordinates(0.8499999999999999, 0.17499999999999938), 50, 50]
-; GreyBlock; (-59, -284); [Coordinates(0.12499999999999939, 0.5749999999999996), 50, 50]
-; GreyBlock; (-55, -271); [Coordinates(0.14999999999999938, 0.7999999999999997), 50, 50]
-; GreyBlock; (-48, -254); [Coordinates(0.0999999999999994, 0.9249999999999999), 50, 50]
-; GreyBlock; (-44, -237); [Coordinates(0.12499999999999939, 1.0), 50, 50]
-; GreyBlock; (-51, -190); [Coordinates(0.14999999999999938, 1.0), 50, 50]
-; GreyBlock; (-57, -142); [Coordinates(0.19999999999999937, 0.3499999999999994), 50, 50]
-; GreyBlock; (-69, -127); [Coordinates(0.2999999999999994, 0.47499999999999953), 50, 50]
-; GreyBlock; (-74, -107); [Coordinates(0.12499999999999939, 0.39999999999999947), 50, 50]
-; GreyBlock; (-77, -103); [Coordinates(0.0749999999999994, 0.4499999999999995), 50, 50]
-; GreyBlock; (-94, -84); [Coordinates(0.39999999999999947, 0.12499999999999939), 50, 50]
-; GreyBlock; (-112, -79); [Coordinates(0.4499999999999995, 0.24999999999999936), 50, 50]
-; GreyBlock; (-133, -70); [Coordinates(0.5749999999999996, 0.19999999999999937), 50, 50]
-; GreyBlock; (-175, -66); [Coordinates(1.0, 0.19999999999999937), 50, 50]
-; GreyBlock; (-166, -214); [Coordinates(0.5249999999999996, 0.17499999999999938), 50, 50]
-; GreyBlock; (-143, -222); [Coordinates(0.6999999999999997, 0.17499999999999938), 50, 50]
-; GreyBlock; (-111, -228); [Coordinates(0.0749999999999994, 0.12499999999999939), 50, 50]
-; GreyBlock; (-108, -231); [Coordinates(0.24999999999999936, 0.0999999999999994), 50, 50]
-; GreyBlock; (-98, -230); [Coordinates(0.12499999999999939, 1.0), 50, 50]
-; GreyBlock; (-105, -183); [Coordinates(0.19999999999999937, 0.17499999999999938), 50, 50]
-; GreyBlock; (-110, -179); [Coordinates(0.0999999999999994, 0.6249999999999997), 50, 50]
-; GreyBlock; (-135, -153); [Coordinates(0.5249999999999996, 0.19999999999999937), 50, 50]
-; GreyBlock; (-157, -146); [Coordinates(0.7249999999999998, 0.17499999999999938), 50, 50]
-; GreyBlock; (-187, -64); [Coordinates(0.27499999999999936, 0.8499999999999998), 50, 50]
-; GreyBlock; (-193, -40); [Coordinates(0.14999999999999938, 1.4749999999999983), 50, 50]
-; GreyBlock; (-168, -210); [Coordinates(0.09999999999999928, 0.6749999999999997), 50, 50]
-; GreyBlock; (-186, -187); [Coordinates(0.4249999999999995, 0.27499999999999936), 50, 50]
-; GreyBlock; (-185, -177); [Coordinates(0.12499999999999939, 0.7749999999999998), 50, 50]
-; GreyBlock; (-181, -141); [Coordinates(0.6499999999999997, 0.12499999999999939), 50, 50]
-; GreyBlock; (-312, -269); [Coordinates(0.22499999999999937, 2.1999999999999957), 50, 50]
-; GreyBlock; (-268, -283); [Coordinates(0.0999999999999994, 2.6249999999999942), 50, 50]
-; GreyBlock; (-228, -229); [Coordinates(0.17499999999999938, 1.0749999999999997), 50, 50]
-; GreyBlock; (-94, -215); [Coordinates(1.0, 0.22499999999999937), 50, 50]
-; ShootableBlock; (-358, -162); [Coordinates(1.849999999999997, 0.14999999999999938), 50, 50]
-; ShootableBlock; (-268, -186); [Coordinates(0.9499999999999998, 0.12499999999999939), 50, 50]
-; GreyBlock; (-198, -360); [Coordinates(0.24999999999999936, 0.37499999999999944), 50, 50]
-; ShootableBlock; (-225, -180); [Coordinates(1.0, 0.0499999999999994), 50, 50]
-; ShootableBlock; (-182, -141); [Coordinates(0.0999999999999994, 1.6249999999999978), 50, 50]
-; ClassicTarget; (-335, -497); [Coordinates(0.5749999999999996, 0.37499999999999944)]
-; ClassicTarget; (-237, -481); [Coordinates(0.49999999999999956, 0.3499999999999994)]
-; ClassicTarget; (-155, -425); [Coordinates(0.5749999999999995, 0.14999999999999938)]
-; ClassicTarget; (-85, -227); [Coordinates(0.7499999999999998, 0.19999999999999937)]
-; ClassicTarget; (-84, -202); [Coordinates(0.7499999999999997, 0.19999999999999937)]
-; Spawn; (-303, -31); [Coordinates(1, 1)]
-; GreyBlock; (-361, 9); [Coordinates(0.5749999999999996, 0.27499999999999936), 50, 50]
-; GreyBlock; (-344, 20); [Coordinates(0.24999999999999936, 1.1749999999999994), 50, 50]
-; GreyBlock; (-339, 67); [Coordinates(1.0, 0.47499999999999953), 50, 50]
-; GreyBlock; (-307, 89); [Coordinates(1.0, 0.39999999999999947), 50, 50]
-; GreyBlock; (-263, 70); [Coordinates(1.0, 0.49999999999999956), 50, 50]
-; GreyBlock; (-221, 56); [Coordinates(0.47499999999999953, 0.4249999999999995), 50, 50]
-; GreyBlock; (-213, 15); [Coordinates(0.47499999999999953, 1.0), 50, 50]
