-; GreyBlock; (-68, -366); [Coordinates(0.4499999999999995, 2.0249999999999964), 50, 50]
-; GreyBlock; (170, -369); [Coordinates(0.5249999999999996, 2.074999999999996), 50, 50]
-; GreyBlock; (171, -369); [Coordinates(1.8999999999999968, 0.5249999999999995), 50, 50]
-; GreyBlock; (171, -293); [Coordinates(1.8999999999999968, 0.5499999999999995), 50, 50]
-; GreyBlock; (237, -322); [Coordinates(0.5749999999999996, 0.7249999999999996), 50, 50]
-; GreyBlock; (215, -322); [Coordinates(1.0, 0.3499999999999993), 50, 50]
-; GreyBlock; (273, -369); [Coordinates(0.5499999999999996, 2.074999999999996), 50, 50]
-; GreyBlock; (337, -370); [Coordinates(0.5499999999999996, 2.099999999999996), 50, 50]
-; GreyBlock; (273, -370); [Coordinates(1.3499999999999988, 0.5249999999999995), 50, 50]
-; GreyBlock; (298, -326); [Coordinates(1.0, 0.5999999999999995), 50, 50]
-; GreyBlock; (372, -369); [Coordinates(0.6249999999999997, 1.1249999999999996), 50, 50]
-; GreyBlock; (427, -370); [Coordinates(0.5999999999999996, 1.1499999999999995), 50, 50]
-; GreyBlock; (402, -349); [Coordinates(0.5499999999999996, 1.6749999999999976), 50, 50]
-; GreyBlock; (-152, -221); [Coordinates(7.225000000000035, 0.07499999999999929), 50, 50]
-; GreyBlock; (-153, -23); [Coordinates(2.5999999999999948, 0.0749999999999994), 50, 50]
-; GreyBlock; (-153, -220); [Coordinates(0.0999999999999994, 3.9499999999999895), 50, 50]
-; GreyBlock; (205, -221); [Coordinates(0.0999999999999994, 3.99999999999999), 50, 50]
-; ClassicTarget; (-50, -207); [Coordinates(0.27499999999999936, 0.9749999999999999)]
-; ClassicTarget; (-24, -210); [Coordinates(0.24999999999999936, 1.0)]
-; ClassicTarget; (-47, -184); [Coordinates(0.5249999999999996, 0.24999999999999925)]
-; ClassicTarget; (-2, -214); [Coordinates(0.24999999999999936, 1.0)]
-; ClassicTarget; (48, -211); [Coordinates(0.27499999999999936, 1.0)]
-; ClassicTarget; (0, -177); [Coordinates(0.7749999999999998, 0.27499999999999925)]
-; ClassicTarget; (2, -214); [Coordinates(0.7249999999999998, 0.24999999999999925)]
-; ClassicTarget; (72, -211); [Coordinates(0.27499999999999936, 1.0)]
-; ClassicTarget; (49, -184); [Coordinates(0.5249999999999996, 0.29999999999999927)]
-; ClassicTarget; (3, -193); [Coordinates(0.7249999999999998, 0.24999999999999925)]
-; ClassicTarget; (97, -210); [Coordinates(0.24999999999999936, 1.0)]
-; ClassicTarget; (98, -211); [Coordinates(0.6999999999999997, 0.27499999999999925)]
-; ClassicTarget; (100, -189); [Coordinates(0.5999999999999996, 0.24999999999999925)]
-; ClassicTarget; (100, -170); [Coordinates(0.6499999999999997, 0.22499999999999926)]
-; GreyBlock; (-106, -146); [Coordinates(4.950000000000003, 0.0749999999999994), 50, 50]
-; GreyBlock; (71, -22); [Coordinates(2.774999999999994, 0.07499999999999929), 50, 50]
-; ShootableBlock; (-146, -145); [Coordinates(0.8750000000000003, 0.07499999999999929), 50, 50]
-; ShootableBlock; (137, -145); [Coordinates(1.3249999999999988, 0.07499999999999929), 50, 50]
-; Spawn; (1, 658); [Coordinates(1, 1)]
-; GreyBlock; (-24, -22); [Coordinates(0.0999999999999994, 14.900000000000144), 50, 50]
-; GreyBlock; (72, -21); [Coordinates(0.0999999999999994, 14.925000000000145), 50, 50]
-; GreyBlock; (-24, 721); [Coordinates(2.0249999999999964, 0.09999999999999928), 50, 50]
